gene_id,gene_name,info_gain,gain_ratio,sym_uncer,chi-square
ABI3BP|25890,ABI3BP,0,NA,0,0
ABI3|51225,ABI3,0,NA,0,0
ABL1|25,ABL1,0,NA,0,0
ABL2|27,ABL2,0,NA,0,0
ABLIM1|3983,ABLIM1,0,NA,0,0
ABLIM2|84448,ABLIM2,0,NA,0,0
ABLIM3|22885,ABLIM3,0,NA,0,0
ABO|28,ABO,0,NA,0,0
ABP1|26,ABP1,0,NA,0,0
ABRA|137735,ABRA,0,NA,0,0
ABR|29,ABR,0,NA,0,0
ABT1|29777,ABT1,0,NA,0,0
ABTB1|80325,ABTB1,0,NA,0,0
ABTB2|25841,ABTB2,0,NA,0,0
ACAA1|30,ACAA1,0,NA,0,0
ACAA2|10449,ACAA2,0,NA,0,0
ACACA|31,ACACA,0,NA,0,0
ACACB|32,ACACB,0,NA,0,0
ACAD10|80724,ACAD10,0,NA,0,0
ACAD11|84129,ACAD11,0,NA,0,0
ACAD8|27034,ACAD8,0,NA,0,0
ACAD9|28976,ACAD9,0,NA,0,0
ACADL|33,ACADL,0,NA,0,0
ACADM|34,ACADM,0,NA,0,0
ACADSB|36,ACADSB,0,NA,0,0
ACADS|35,ACADS,0,NA,0,0
ACADVL|37,ACADVL,0,NA,0,0
ACAN|176,ACAN,0,NA,0,0
ACAP1|9744,ACAP1,0,NA,0,0
ACAP2|23527,ACAP2,0,NA,0,0
ACAP3|116983,ACAP3,0,NA,0,0
ACAT1|38,ACAT1,0,NA,0,0
ACAT2|39,ACAT2,0,NA,0,0
ACBD3|64746,ACBD3,0,NA,0,0
ACBD4|79777,ACBD4,0,NA,0,0
ACBD5|91452,ACBD5,0,NA,0,0
ACBD6|84320,ACBD6,0.043620987,0.213129706,0.074230975,0.223203308
ACBD7|414149,ACBD7,0,NA,0,0
ACCN1|40,ACCN1,0,NA,0,0
ACCN2|41,ACCN2,0,NA,0,0
ACCN3|9311,ACCN3,0,NA,0,0
ACCN4|55515,ACCN4,0,NA,0,0
ACCN5|51802,ACCN5,0,NA,0,0
ACCSL|390110,ACCSL,0,NA,0,0
ACCS|84680,ACCS,0,NA,0,0
ACD|65057,ACD,0,NA,0,0
ACE2|59272,ACE2,0,NA,0,0
ACER1|125981,ACER1,0,NA,0,0
ACER2|340485,ACER2,0,NA,0,0
ACER3|55331,ACER3,0,NA,0,0
ACE|1636,ACE,0,NA,0,0
ACHE|43,ACHE,0,NA,0,0
ACIN1|22985,ACIN1,0,NA,0,0
ACLY|47,ACLY,0,NA,0,0
ACMSD|130013,ACMSD,0,NA,0,0
ACN9|57001,ACN9,0,NA,0,0
ACO1|48,ACO1,0,NA,0,0
ACO2|50,ACO2,0,NA,0,0
ACOT11|26027,ACOT11,0,NA,0,0
ACOT12|134526,ACOT12,0,NA,0,0
ACOT13|55856,ACOT13,0,NA,0,0
ACOT1|641371,ACOT1,0,NA,0,0
ACOT2|10965,ACOT2,0,NA,0,0
ACOT4|122970,ACOT4,0,NA,0,0
ACOT6|641372,ACOT6,0,NA,0,0
ACOT7|11332,ACOT7,0,NA,0,0
ACOT8|10005,ACOT8,0,NA,0,0
ACOT9|23597,ACOT9,0,NA,0,0
ACOX1|51,ACOX1,0,NA,0,0
ACOX2|8309,ACOX2,0,NA,0,0
ACOX3|8310,ACOX3,0,NA,0,0
ACOXL|55289,ACOXL,0,NA,0,0
ACP1|52,ACP1,0,NA,0,0
ACP2|53,ACP2,0,NA,0,0
ACP5|54,ACP5,0,NA,0,0
ACP6|51205,ACP6,0,NA,0,0
ACPL2|92370,ACPL2,0,NA,0,0
ACPP|55,ACPP,0,NA,0,0
ACPT|93650,ACPT,0,NA,0,0
ACRBP|84519,ACRBP,0,NA,0,0
ACRC|93953,ACRC,0,NA,0,0
ACRV1|56,ACRV1,0,NA,0,0
ACR|49,ACR,0,NA,0,0
ACSBG1|23205,ACSBG1,0,NA,0,0
ACSBG2|81616,ACSBG2,0,NA,0,0
ACSF2|80221,ACSF2,0,NA,0,0
ACSF3|197322,ACSF3,0,NA,0,0
ACSL1|2180,ACSL1,0,NA,0,0
ACSL3|2181,ACSL3,0,NA,0,0
ACSL4|2182,ACSL4,0,NA,0,0
ACSL5|51703,ACSL5,0,NA,0,0
ACSL6|23305,ACSL6,0,NA,0,0
ACSM1|116285,ACSM1,0,NA,0,0
ACSM2A|123876,ACSM2A,0,NA,0,0
ACSM2B|348158,ACSM2B,0,NA,0,0
ACSM3|6296,ACSM3,0,NA,0,0
ACSM4|341392,ACSM4,0,NA,0,0
ACSM5|54988,ACSM5,0,NA,0,0
ACSS1|84532,ACSS1,0,NA,0,0
ACSS2|55902,ACSS2,0.038529935,0.082643795,0.053632035,0.210753296
ACSS3|79611,ACSS3,0,NA,0,0
ACTA1|58,ACTA1,0,NA,0,0
ACTA2|59,ACTA2,0,NA,0,0
ACTBL2|345651,ACTBL2,0,NA,0,0
ACTB|60,ACTB,0,NA,0,0
ACTC1|70,ACTC1,0,NA,0,0
ACTG1|71,ACTG1,0,NA,0,0
ACTG2|72,ACTG2,0,NA,0,0
ACTL6A|86,ACTL6A,0,NA,0,0
ACTL6B|51412,ACTL6B,0,NA,0,0
ACTL7A|10881,ACTL7A,0,NA,0,0
ACTL7B|10880,ACTL7B,0,NA,0,0
ACTL8|81569,ACTL8,0,NA,0,0
ACTL9|284382,ACTL9,0,NA,0,0
ACTN1|87,ACTN1,0,NA,0,0
ACTN2|88,ACTN2,0,NA,0,0
ACTN3|89,ACTN3,0,NA,0,0
ACTN4|81,ACTN4,0,NA,0,0
ACTR10|55860,ACTR10,0,NA,0,0
ACTR1A|10121,ACTR1A,0,NA,0,0
ACTR1B|10120,ACTR1B,0,NA,0,0
ACTR2|10097,ACTR2,0,NA,0,0
ACTR3B|57180,ACTR3B,0,NA,0,0
ACTR3C|653857,ACTR3C,0,NA,0,0
ACTR3|10096,ACTR3,0,NA,0,0
ACTR5|79913,ACTR5,0,NA,0,0
ACTR6|64431,ACTR6,0,NA,0,0
ACTR8|93973,ACTR8,0,NA,0,0
ACTRT1|139741,ACTRT1,0,NA,0,0
ACTRT2|140625,ACTRT2,0,NA,0,0
ACVR1B|91,ACVR1B,0,NA,0,0
ACVR1C|130399,ACVR1C,0,NA,0,0
ACVR1|90,ACVR1,0,NA,0,0
ACVR2A|92,ACVR2A,0,NA,0,0
ACVR2B|93,ACVR2B,0,NA,0,0
ACVRL1|94,ACVRL1,0,NA,0,0
ACY1|95,ACY1,0,NA,0,0
ACY3|91703,ACY3,0,NA,0,0
ACYP1|97,ACYP1,0,NA,0,0
ACYP2|98,ACYP2,0,NA,0,0
ADAD1|132612,ADAD1,0,NA,0,0
ADAD2|161931,ADAD2,0,NA,0,0
ADAL|161823,ADAL,0,NA,0,0
ADAM10|102,ADAM10,0,NA,0,0
ADAM11|4185,ADAM11,0,NA,0,0
ADAM12|8038,ADAM12,0,NA,0,0
ADAM15|8751,ADAM15,0,NA,0,0
ADAM17|6868,ADAM17,0,NA,0,0
ADAM18|8749,ADAM18,0,NA,0,0
ADAM19|8728,ADAM19,0,NA,0,0
ADAM20|8748,ADAM20,0,NA,0,0
ADAM21P1|145241,ADAM21P1,0,NA,0,0
ADAM21|8747,ADAM21,0,NA,0,0
ADAM22|53616,ADAM22,0,NA,0,0
ADAM23|8745,ADAM23,0,NA,0,0
ADAM28|10863,ADAM28,0,NA,0,0
ADAM29|11086,ADAM29,0,NA,0,0
ADAM2|2515,ADAM2,0,NA,0,0
ADAM30|11085,ADAM30,0,NA,0,0
ADAM32|203102,ADAM32,0,NA,0,0
ADAM33|80332,ADAM33,0,NA,0,0
ADAM3A|1587,ADAM3A,0,NA,0,0
ADAM5P|255926,ADAM5P,0,NA,0,0
ADAM6|8755,ADAM6,0,NA,0,0
ADAM7|8756,ADAM7,0,NA,0,0
